Company name,ASX code,GICS industry group,GICS Industry (Sub-Level),Share Price (AUD),Market Cap (Billion AUD),Outstanding Shares (Billion)
COMMONWEALTH BANK OF AUSTRALIA.,CBA,Banks,Banks,172.8,289.17,1.673
BHP GROUP LIMITED,BHP,Materials,Chemicals; Construction Materials; Metals & Mining,51.23,260.32,5.081
WESTPAC BANKING CORPORATION,WBC,Banks,Banks,39.85,136.3,3.42
NATIONAL AUSTRALIA BANK LIMITED,NAB,Banks,Banks,41.8,128.23,3.068
ANZ GROUP HOLDINGS LIMITED,ANZ,Banks,Banks,36.63,110.41,3.014
WESFARMERS LIMITED,WES,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,73.34,83.21,1.135
MACQUARIE GROUP LIMITED,MQG,Financial Services,Diversified Financials; Capital Markets,205.59,78.36,0.381
CSL LIMITED,CSL,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,138.93,67.43,0.485
TELSTRA GROUP LIMITED,TLS,Telecommunication Services,Diversified Telecommunication Services,5.42,60.91,11.238
RIO TINTO LIMITED,RIO,Materials,Chemicals; Construction Materials; Metals & Mining,161.62,60.09,0.372
GOODMAN GROUP,GMG,Equity Real Estate Investment Trusts (REITs),Equity REITs,26.08,53.33,2.045
WOOLWORTHS GROUP LIMITED,WOW,Consumer Staples Distribution & Retail,Food & Staples Retailing,37.01,45.21,1.222
TRANSURBAN GROUP,TCL,Transportation,Air Freight & Logistics; Airlines; Road & Rail,13.86,43.25,3.12
QBE INSURANCE GROUP LIMITED,QBE,Insurance,Insurance,21.55,32.36,1.502
NORTHERN STAR RESOURCES LTD,NST,Materials,Chemicals; Construction Materials; Metals & Mining,21.91,31.36,1.431
BRAMBLES LIMITED,BXB,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,22.83,30.84,1.351
SIGMA HEALTHCARE LIMITED,SIG,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,2.66,30.71,11.545
COLES GROUP LIMITED.,COL,Consumer Staples Distribution & Retail,Food & Staples Retailing,22.62,30.38,1.343
ARISTOCRAT LEISURE LIMITED,ALL,Consumer Services,"Hotels, Restaurants & Leisure",46.15,28.0,0.607
EVOLUTION MINING LIMITED,EVN,Materials,Chemicals; Construction Materials; Metals & Mining,13.02,26.44,2.031
SANTOS LIMITED,STO,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",8.08,26.24,3.248
ORIGIN ENERGY LIMITED,ORG,Utilities,Electric Utilities; Gas Utilities; Renewables,12.59,21.69,1.723
REA GROUP LTD,REA,Media & Entertainment,Media; Entertainment,154.41,20.37,0.132
SOUTH32 LIMITED,S32,Materials,Chemicals; Construction Materials; Metals & Mining,4.42,19.83,4.486
LYNAS RARE EARTHS LIMITED,LYC,Materials,Chemicals; Construction Materials; Metals & Mining,19.41,19.54,1.007
RESMED INC,RMD,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,32.21,18.49,0.574
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FPH,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,30.28,17.78,0.587
SCENTRE GROUP,SCG,Equity Real Estate Investment Trusts (REITs),Equity REITs,3.37,17.6,5.223
INSURANCE AUSTRALIA GROUP LIMITED,IAG,Insurance,Insurance,7.28,17.22,2.365
SUNCORP GROUP LIMITED,SUN,Insurance,Insurance,15.8,17.11,1.083
1414 DEGREES LIMITED,14D,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
29METALS LIMITED,29M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
333D LIMITED,T3D,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
360 CAPITAL MORTGAGE REIT,TCF,Not Applic,Other/Not Applicable,,,
360 CAPITAL REIT,TOT,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
3D ENERGI LIMITED,TDO,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
3P LEARNING LIMITED..,3PL,Consumer Services,"Hotels, Restaurants & Leisure",,,
49 METALS LIMITED,49M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
4DMEDICAL LIMITED,4DX,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
4DS MEMORY LIMITED,4DS,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,
5E ADVANCED MATERIALS INC.,5EA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
5G NETWORKS LIMITED.,5GN,Software & Services,IT Services; Software,,,
"6K ADDITIVE, INC.",6KA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
88 ENERGY LIMITED,88E,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
8COMMON LIMITED,8CO,Software & Services,IT Services; Software,,,
8I HOLDINGS LTD,8IH,Financial Services,Diversified Financials; Capital Markets,,,
ABACUS GROUP,ABG,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
ABACUS STORAGE KING,ASK,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
ABX GROUP LIMITED,ABX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACADEMIES AUSTRALASIA GROUP LIMITED,AKG,Consumer Services,"Hotels, Restaurants & Leisure",,,
ACCELERATE RESOURCES LIMITED,AX8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACCENT GROUP LIMITED,AX1,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
ACCENT RESOURCES NL,ACS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACDC METALS LTD,ADC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ,Not Applic,Other/Not Applicable,,,
ACROW LIMITED,ACF,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ACRUX LIMITED,ACR,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ACTINOGEN MEDICAL LIMITED,ACW,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ACTIVEPORT GROUP LTD,ATV,Software & Services,IT Services; Software,,,
ACTIVEX LIMITED,AIV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ACUMENTIS GROUP LIMITED,ACU,Real Estate Management & Development,Real Estate Management & Development,,,
ACUSENSUS LIMITED.,ACE,Software & Services,IT Services; Software,,,
ADAIRS LIMITED,ADH,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
ADALTA LIMITED,1AD,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ADAVALE RESOURCES LIMITED,ADD,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
ADELONG GOLD LIMITED,ADG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADHERIS HEALTH LIMITED,AHE,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ADHERIUM LIMITED,ADR,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
ADISYN LTD,AI1,Software & Services,IT Services; Software,,,
ADMIRALTY RESOURCES NL.,ADY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADNEO LIMITED,AD1,Media & Entertainment,Media; Entertainment,,,
ADORE BEAUTY GROUP LIMITED,ABY,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
ADRAD HOLDINGS LIMITED,AHL,Automobiles & Components,Auto Components; Automobiles,,,
ADSLOT LTD.,ADS,Software & Services,IT Services; Software,,,
ADVANCE METALS LIMITED,AVM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADVANCE ZINCTEK LIMITED,ANO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADVANCED BRAKING TECHNOLOGY LTD,ABV,Automobiles & Components,Auto Components; Automobiles,,,
ADVANCED ENERGY MINERALS LTD,AEM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ADVANCED INNERGY HOLDINGS LIMITED,AIH,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
ADVERITAS LIMITED,AV1,Software & Services,IT Services; Software,,,
ADX ENERGY LTD,ADX,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
AEERIS LTD,AER,Media & Entertainment,Media; Entertainment,,,
AERIS ENVIRONMENTAL LTD,AEI,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
AERIS RESOURCES LIMITED,AIS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AEROMETREX LIMITED,AMX,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
AF LEGAL GROUP LTD,AFL,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
AFG 2023-1 TRUST IN RESPECT OF SERIES 2023-1,AFT,Not Applic,Other/Not Applicable,,,
AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1,AF4,Not Applic,Other/Not Applicable,,,
AFG 2025-1 TRUST IN RESPECT OF SERIES 2025-1,AF6,Not Applic,Other/Not Applicable,,,
AFG 2025-1NC TRUST IN RESPECT OF SERIES 2025-1NC,AF5,Not Applic,Other/Not Applicable,,,
AFRICAN GOLD LTD.,A1G,Materials,Chemicals; Construction Materials; Metals & Mining,,,
AFT PHARMACEUTICALS LIMITED,AFP,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
AGL ENERGY LIMITED.,AGL,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
AGRIMIN LIMITED,AMN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
